NOMBRE,COSTOPROD,PRECIOVENT,VENDIDOS,DISPONIBLES,ID_MENU,MAX_DISP,NOMRESTAURANTE
MENU 1,10000,20000,500,250,1,500,RESTAURANTE 1
MENU 2,10000,20000,500,250,2,500,RESTAURANTE 2
MENU 3,10000,20000,500,250,3,500,RESTAURANTE 3
MENU 4,10000,20000,500,250,4,500,RESTAURANTE 4
MENU 5,10000,20000,500,250,5,500,RESTAURANTE 5
MENU 6,10000,20000,500,250,6,500,RESTAURANTE 6
MENU 7,10000,20000,500,250,7,500,RESTAURANTE 7
MENU 8,10000,20000,500,250,8,500,RESTAURANTE 8
MENU 9,10000,20000,500,250,9,500,RESTAURANTE 9
MENU 10,10000,20000,500,250,10,500,RESTAURANTE 10
MENU 11,10000,20000,500,250,11,500,RESTAURANTE 11
MENU 12,10000,20000,500,250,12,500,RESTAURANTE 12
MENU 13,10000,20000,500,250,13,500,RESTAURANTE 13
MENU 14,10000,20000,500,250,14,500,RESTAURANTE 14
MENU 15,10000,20000,500,250,15,500,RESTAURANTE 15
MENU 16,10000,20000,500,250,16,500,RESTAURANTE 16
MENU 17,10000,20000,500,250,17,500,RESTAURANTE 17
MENU 18,10000,20000,500,250,18,500,RESTAURANTE 18
MENU 19,10000,20000,500,250,19,500,RESTAURANTE 19
MENU 20,10000,20000,500,250,20,500,RESTAURANTE 20
MENU 21,10000,20000,500,250,21,500,RESTAURANTE 21
MENU 22,10000,20000,500,250,22,500,RESTAURANTE 22
MENU 23,10000,20000,500,250,23,500,RESTAURANTE 23
MENU 24,10000,20000,500,250,24,500,RESTAURANTE 24
MENU 25,10000,20000,500,250,25,500,RESTAURANTE 25
MENU 26,10000,20000,500,250,26,500,RESTAURANTE 26
MENU 27,10000,20000,500,250,27,500,RESTAURANTE 27
MENU 28,10000,20000,500,250,28,500,RESTAURANTE 28
MENU 29,10000,20000,500,250,29,500,RESTAURANTE 29
MENU 30,10000,20000,500,250,30,500,RESTAURANTE 30
MENU 31,10000,20000,500,250,31,500,RESTAURANTE 31
MENU 32,10000,20000,500,250,32,500,RESTAURANTE 32
MENU 33,10000,20000,500,250,33,500,RESTAURANTE 33
MENU 34,10000,20000,500,250,34,500,RESTAURANTE 34
MENU 35,10000,20000,500,250,35,500,RESTAURANTE 35
MENU 36,10000,20000,500,250,36,500,RESTAURANTE 36
MENU 37,10000,20000,500,250,37,500,RESTAURANTE 37
MENU 38,10000,20000,500,250,38,500,RESTAURANTE 38
MENU 39,10000,20000,500,250,39,500,RESTAURANTE 39
MENU 40,10000,20000,500,250,40,500,RESTAURANTE 40
MENU 41,10000,20000,500,250,41,500,RESTAURANTE 41
MENU 42,10000,20000,500,250,42,500,RESTAURANTE 42
MENU 43,10000,20000,500,250,43,500,RESTAURANTE 43
MENU 44,10000,20000,500,250,44,500,RESTAURANTE 44
MENU 45,10000,20000,500,250,45,500,RESTAURANTE 45
MENU 46,10000,20000,500,250,46,500,RESTAURANTE 46
MENU 47,10000,20000,500,250,47,500,RESTAURANTE 47
MENU 48,10000,20000,500,250,48,500,RESTAURANTE 48
MENU 49,10000,20000,500,250,49,500,RESTAURANTE 49
MENU 50,10000,20000,500,250,50,500,RESTAURANTE 50
MENU 51,10000,20000,500,250,51,500,RESTAURANTE 51
MENU 52,10000,20000,500,250,52,500,RESTAURANTE 52
MENU 53,10000,20000,500,250,53,500,RESTAURANTE 53
MENU 54,10000,20000,500,250,54,500,RESTAURANTE 54
MENU 55,10000,20000,500,250,55,500,RESTAURANTE 55
MENU 56,10000,20000,500,250,56,500,RESTAURANTE 56
MENU 57,10000,20000,500,250,57,500,RESTAURANTE 57
MENU 58,10000,20000,500,250,58,500,RESTAURANTE 58
MENU 59,10000,20000,500,250,59,500,RESTAURANTE 59
MENU 60,10000,20000,500,250,60,500,RESTAURANTE 60
MENU 61,10000,20000,500,250,61,500,RESTAURANTE 61
MENU 62,10000,20000,500,250,62,500,RESTAURANTE 62
MENU 63,10000,20000,500,250,63,500,RESTAURANTE 63
MENU 64,10000,20000,500,250,64,500,RESTAURANTE 64
MENU 65,10000,20000,500,250,65,500,RESTAURANTE 65
MENU 66,10000,20000,500,250,66,500,RESTAURANTE 66
MENU 67,10000,20000,500,250,67,500,RESTAURANTE 67
MENU 68,10000,20000,500,250,68,500,RESTAURANTE 68
MENU 69,10000,20000,500,250,69,500,RESTAURANTE 69
MENU 70,10000,20000,500,250,70,500,RESTAURANTE 70
MENU 71,10000,20000,500,250,71,500,RESTAURANTE 71
MENU 72,10000,20000,500,250,72,500,RESTAURANTE 72
MENU 73,10000,20000,500,250,73,500,RESTAURANTE 73
MENU 74,10000,20000,500,250,74,500,RESTAURANTE 74
MENU 75,10000,20000,500,250,75,500,RESTAURANTE 75
MENU 76,10000,20000,500,250,76,500,RESTAURANTE 76
MENU 77,10000,20000,500,250,77,500,RESTAURANTE 77
MENU 78,10000,20000,500,250,78,500,RESTAURANTE 78
MENU 79,10000,20000,500,250,79,500,RESTAURANTE 79
MENU 80,10000,20000,500,250,80,500,RESTAURANTE 80
MENU 81,10000,20000,500,250,81,500,RESTAURANTE 81
MENU 82,10000,20000,500,250,82,500,RESTAURANTE 82
MENU 83,10000,20000,500,250,83,500,RESTAURANTE 83
MENU 84,10000,20000,500,250,84,500,RESTAURANTE 84
MENU 85,10000,20000,500,250,85,500,RESTAURANTE 85
MENU 86,10000,20000,500,250,86,500,RESTAURANTE 86
MENU 87,10000,20000,500,250,87,500,RESTAURANTE 87
MENU 88,10000,20000,500,250,88,500,RESTAURANTE 88
MENU 89,10000,20000,500,250,89,500,RESTAURANTE 89
MENU 90,10000,20000,500,250,90,500,RESTAURANTE 90
MENU 91,10000,20000,500,250,91,500,RESTAURANTE 91
MENU 92,10000,20000,500,250,92,500,RESTAURANTE 92
MENU 93,10000,20000,500,250,93,500,RESTAURANTE 93
MENU 94,10000,20000,500,250,94,500,RESTAURANTE 94
MENU 95,10000,20000,500,250,95,500,RESTAURANTE 95
MENU 96,10000,20000,500,250,96,500,RESTAURANTE 96
MENU 97,10000,20000,500,250,97,500,RESTAURANTE 97
MENU 98,10000,20000,500,250,98,500,RESTAURANTE 98
MENU 99,10000,20000,500,250,99,500,RESTAURANTE 99
MENU 100,10000,20000,500,250,100,500,RESTAURANTE 100
MENU 101,10000,20000,500,250,101,500,RESTAURANTE 101
MENU 102,10000,20000,500,250,102,500,RESTAURANTE 102
MENU 103,10000,20000,500,250,103,500,RESTAURANTE 103
MENU 104,10000,20000,500,250,104,500,RESTAURANTE 104
MENU 105,10000,20000,500,250,105,500,RESTAURANTE 105
MENU 106,10000,20000,500,250,106,500,RESTAURANTE 106
MENU 107,10000,20000,500,250,107,500,RESTAURANTE 107
MENU 108,10000,20000,500,250,108,500,RESTAURANTE 108
MENU 109,10000,20000,500,250,109,500,RESTAURANTE 109
MENU 110,10000,20000,500,250,110,500,RESTAURANTE 110
MENU 111,10000,20000,500,250,111,500,RESTAURANTE 111
MENU 112,10000,20000,500,250,112,500,RESTAURANTE 112
MENU 113,10000,20000,500,250,113,500,RESTAURANTE 113
MENU 114,10000,20000,500,250,114,500,RESTAURANTE 114
MENU 115,10000,20000,500,250,115,500,RESTAURANTE 115
MENU 116,10000,20000,500,250,116,500,RESTAURANTE 116
MENU 117,10000,20000,500,250,117,500,RESTAURANTE 117
MENU 118,10000,20000,500,250,118,500,RESTAURANTE 118
MENU 119,10000,20000,500,250,119,500,RESTAURANTE 119
MENU 120,10000,20000,500,250,120,500,RESTAURANTE 120
MENU 121,10000,20000,500,250,121,500,RESTAURANTE 121
MENU 122,10000,20000,500,250,122,500,RESTAURANTE 122
MENU 123,10000,20000,500,250,123,500,RESTAURANTE 123
MENU 124,10000,20000,500,250,124,500,RESTAURANTE 124
MENU 125,10000,20000,500,250,125,500,RESTAURANTE 125
MENU 126,10000,20000,500,250,126,500,RESTAURANTE 126
MENU 127,10000,20000,500,250,127,500,RESTAURANTE 127
MENU 128,10000,20000,500,250,128,500,RESTAURANTE 128
MENU 129,10000,20000,500,250,129,500,RESTAURANTE 129
MENU 130,10000,20000,500,250,130,500,RESTAURANTE 130
MENU 131,10000,20000,500,250,131,500,RESTAURANTE 131
MENU 132,10000,20000,500,250,132,500,RESTAURANTE 132
MENU 133,10000,20000,500,250,133,500,RESTAURANTE 133
MENU 134,10000,20000,500,250,134,500,RESTAURANTE 134
MENU 135,10000,20000,500,250,135,500,RESTAURANTE 135
MENU 136,10000,20000,500,250,136,500,RESTAURANTE 136
MENU 137,10000,20000,500,250,137,500,RESTAURANTE 137
MENU 138,10000,20000,500,250,138,500,RESTAURANTE 138
MENU 139,10000,20000,500,250,139,500,RESTAURANTE 139
MENU 140,10000,20000,500,250,140,500,RESTAURANTE 140
MENU 141,10000,20000,500,250,141,500,RESTAURANTE 141
MENU 142,10000,20000,500,250,142,500,RESTAURANTE 142
MENU 143,10000,20000,500,250,143,500,RESTAURANTE 143
MENU 144,10000,20000,500,250,144,500,RESTAURANTE 144
MENU 145,10000,20000,500,250,145,500,RESTAURANTE 145
MENU 146,10000,20000,500,250,146,500,RESTAURANTE 146
MENU 147,10000,20000,500,250,147,500,RESTAURANTE 147
MENU 148,10000,20000,500,250,148,500,RESTAURANTE 148
MENU 149,10000,20000,500,250,149,500,RESTAURANTE 149
MENU 150,10000,20000,500,250,150,500,RESTAURANTE 150
MENU 151,10000,20000,500,250,151,500,RESTAURANTE 151
MENU 152,10000,20000,500,250,152,500,RESTAURANTE 152
MENU 153,10000,20000,500,250,153,500,RESTAURANTE 153
MENU 154,10000,20000,500,250,154,500,RESTAURANTE 154
MENU 155,10000,20000,500,250,155,500,RESTAURANTE 155
MENU 156,10000,20000,500,250,156,500,RESTAURANTE 156
MENU 157,10000,20000,500,250,157,500,RESTAURANTE 157
MENU 158,10000,20000,500,250,158,500,RESTAURANTE 158
MENU 159,10000,20000,500,250,159,500,RESTAURANTE 159
MENU 160,10000,20000,500,250,160,500,RESTAURANTE 160
MENU 161,10000,20000,500,250,161,500,RESTAURANTE 161
MENU 162,10000,20000,500,250,162,500,RESTAURANTE 162
MENU 163,10000,20000,500,250,163,500,RESTAURANTE 163
MENU 164,10000,20000,500,250,164,500,RESTAURANTE 164
MENU 165,10000,20000,500,250,165,500,RESTAURANTE 165
MENU 166,10000,20000,500,250,166,500,RESTAURANTE 166
MENU 167,10000,20000,500,250,167,500,RESTAURANTE 167
MENU 168,10000,20000,500,250,168,500,RESTAURANTE 168
MENU 169,10000,20000,500,250,169,500,RESTAURANTE 169
MENU 170,10000,20000,500,250,170,500,RESTAURANTE 170
MENU 171,10000,20000,500,250,171,500,RESTAURANTE 171
MENU 172,10000,20000,500,250,172,500,RESTAURANTE 172
MENU 173,10000,20000,500,250,173,500,RESTAURANTE 173
MENU 174,10000,20000,500,250,174,500,RESTAURANTE 174
MENU 175,10000,20000,500,250,175,500,RESTAURANTE 175
MENU 176,10000,20000,500,250,176,500,RESTAURANTE 176
MENU 177,10000,20000,500,250,177,500,RESTAURANTE 177
MENU 178,10000,20000,500,250,178,500,RESTAURANTE 178
MENU 179,10000,20000,500,250,179,500,RESTAURANTE 179
MENU 180,10000,20000,500,250,180,500,RESTAURANTE 180
MENU 181,10000,20000,500,250,181,500,RESTAURANTE 181
MENU 182,10000,20000,500,250,182,500,RESTAURANTE 182
MENU 183,10000,20000,500,250,183,500,RESTAURANTE 183
MENU 184,10000,20000,500,250,184,500,RESTAURANTE 184
MENU 185,10000,20000,500,250,185,500,RESTAURANTE 185
MENU 186,10000,20000,500,250,186,500,RESTAURANTE 186
MENU 187,10000,20000,500,250,187,500,RESTAURANTE 187
MENU 188,10000,20000,500,250,188,500,RESTAURANTE 188
MENU 189,10000,20000,500,250,189,500,RESTAURANTE 189
MENU 190,10000,20000,500,250,190,500,RESTAURANTE 190
MENU 191,10000,20000,500,250,191,500,RESTAURANTE 191
MENU 192,10000,20000,500,250,192,500,RESTAURANTE 192
MENU 193,10000,20000,500,250,193,500,RESTAURANTE 193
MENU 194,10000,20000,500,250,194,500,RESTAURANTE 194
MENU 195,10000,20000,500,250,195,500,RESTAURANTE 195
MENU 196,10000,20000,500,250,196,500,RESTAURANTE 196
MENU 197,10000,20000,500,250,197,500,RESTAURANTE 197
MENU 198,10000,20000,500,250,198,500,RESTAURANTE 198
