ID_MENU,ID_PLATO
10001,80001
10002,80002
10003,80003
10004,80004
10005,80005
10006,80006
10007,80007
10008,80008
10009,80009
10010,80010
10011,80011
10012,80012
10013,80013
10014,80014
10015,80015
10016,80016
10017,80017
10018,80018
10019,80019
10020,80020
10021,80021
10022,80022
10023,80023
10024,80024
10025,80025
10026,80026
10027,80027
10028,80028
10029,80029
10030,80030
10031,80031
10032,80032
10033,80033
10034,80034
10035,80035
10036,80036
10037,80037
10038,80038
10039,80039
10040,80040
10041,80041
10042,80042
10043,80043
10044,80044
10045,80045
10046,80046
10047,80047
10048,80048
10049,80049
10050,80050
10051,80051
10052,80052
10053,80053
10054,80054
10055,80055
10056,80056
10057,80057
10058,80058
10059,80059
10060,80060
10061,80061
10062,80062
10063,80063
10064,80064
10065,80065
10066,80066
10067,80067
10068,80068
10069,80069
10070,80070
10071,80071
10072,80072
10073,80073
10074,80074
10075,80075
10076,80076
10077,80077
10078,80078
10079,80079
10080,80080
10081,80081
10082,80082
10083,80083
10084,80084
10085,80085
10086,80086
10087,80087
10088,80088
10089,80089
10090,80090
10091,80091
10092,80092
10093,80093
10094,80094
10095,80095
10096,80096
10097,80097
10098,80098
10099,80099
10100,80100
10101,80101
10102,80102
10103,80103
10104,80104
10105,80105
10106,80106
10107,80107
10108,80108
10109,80109
10110,80110
10111,80111
10112,80112
10113,80113
10114,80114
10115,80115
10116,80116
10117,80117
10118,80118
10119,80119
10120,80120
10121,80121
10122,80122
10123,80123
10124,80124
10125,80125
10126,80126
10127,80127
10128,80128
10129,80129
10130,80130
10131,80131
10132,80132
10133,80133
10134,80134
10135,80135
10136,80136
10137,80137
10138,80138
10139,80139
10140,80140
10141,80141
10142,80142
10143,80143
10144,80144
10145,80145
10146,80146
10147,80147
10148,80148
10149,80149
10150,80150
10151,80151
10152,80152
10153,80153
10154,80154
10155,80155
10156,80156
10157,80157
10158,80158
10159,80159
10160,80160
10161,80161
10162,80162
10163,80163
10164,80164
10165,80165
10166,80166
10167,80167
10168,80168
10169,80169
10170,80170
10171,80171
10172,80172
10173,80173
10174,80174
10175,80175
10176,80176
10177,80177
10178,80178
10179,80179
10180,80180
10181,80181
10182,80182
10183,80183
10184,80184
10185,80185
10186,80186
10187,80187
10188,80188
10189,80189
10190,80190
10191,80191
10192,80192
10193,80193
10194,80194
10195,80195
10196,80196
10197,80197
10198,80198
10199,80199
10200,80200
10201,80201
10202,80202
10203,80203
10204,80204
10205,80205
10206,80206
10207,80207
10208,80208
10209,80209
10210,80210
10211,80211
10212,80212
10213,80213
10214,80214
10215,80215
10216,80216
10217,80217
10218,80218
10219,80219
10220,80220
10221,80221
10222,80222
10223,80223
10224,80224
10225,80225
10226,80226
10227,80227
10228,80228
10229,80229
10230,80230
10231,80231
10232,80232
10233,80233
10234,80234
10235,80235
10236,80236
10237,80237
10238,80238
10239,80239
10240,80240
10241,80241
10242,80242
10243,80243
10244,80244
10245,80245
10246,80246
10247,80247
10248,80248
10249,80249
10250,80250
10251,80251
10252,80252
10253,80253
10254,80254
10255,80255
10256,80256
10257,80257
10258,80258
10259,80259
10260,80260
10261,80261
10262,80262
10263,80263
10264,80264
10265,80265
10266,80266
10267,80267
10268,80268
10269,80269
10270,80270
10271,80271
10272,80272
10273,80273
10274,80274
10275,80275
10276,80276
10277,80277
10278,80278
10279,80279
10280,80280
10281,80281
10282,80282
10283,80283
10284,80284
10285,80285
10286,80286
10287,80287
10288,80288
10289,80289
10290,80290
10291,80291
10292,80292
10293,80293
10294,80294
10295,80295
10296,80296
10297,80297
10298,80298
10299,80299
10300,80300
10301,80301
10302,80302
10303,80303
10304,80304
10305,80305
10306,80306
10307,80307
10308,80308
10309,80309
10310,80310
10311,80311
10312,80312
10313,80313
10314,80314
10315,80315
10316,80316
10317,80317
10318,80318
10319,80319
10320,80320
10321,80321
10322,80322
10323,80323
10324,80324
10325,80325
10326,80326
10327,80327
10328,80328
10329,80329
10330,80330
10331,80331
10332,80332
10333,80333
10334,80334
10335,80335
10336,80336
10337,80337
10338,80338
10339,80339
10340,80340
10341,80341
10342,80342
10343,80343
10344,80344
10345,80345
10346,80346
10347,80347
10348,80348
10349,80349
10350,80350
10351,80351
10352,80352
10353,80353
10354,80354
10355,80355
10356,80356
10357,80357
10358,80358
10359,80359
10360,80360
10361,80361
10362,80362
10363,80363
10364,80364
10365,80365
10366,80366
10367,80367
10368,80368
10369,80369
10370,80370
10371,80371
10372,80372
10373,80373
10374,80374
10375,80375
10376,80376
10377,80377
10378,80378
10379,80379
10380,80380
10381,80381
10382,80382
10383,80383
10384,80384
10385,80385
10386,80386
10387,80387
10388,80388
10389,80389
10390,80390
10391,80391
10392,80392
10393,80393
10394,80394
10395,80395
10396,80396
10397,80397
10398,80398
10399,80399
10400,80400
10401,80401
10402,80402
10403,80403
10404,80404
10405,80405
10406,80406
10407,80407
10408,80408
10409,80409
10410,80410
10411,80411
10412,80412
10413,80413
10414,80414
10415,80415
10416,80416
10417,80417
10418,80418
10419,80419
10420,80420
10421,80421
10422,80422
10423,80423
10424,80424
10425,80425
10426,80426
10427,80427
10428,80428
10429,80429
10430,80430
10431,80431
10432,80432
10433,80433
10434,80434
10435,80435
10436,80436
10437,80437
10438,80438
10439,80439
10440,80440
10441,80441
10442,80442
10443,80443
10444,80444
10445,80445
10446,80446
10447,80447
10448,80448
10449,80449
10450,80450
10451,80451
10452,80452
10453,80453
10454,80454
10455,80455
10456,80456
10457,80457
10458,80458
10459,80459
10460,80460
10461,80461
10462,80462
10463,80463
10464,80464
10465,80465
10466,80466
10467,80467
10468,80468
10469,80469
10470,80470
10471,80471
10472,80472
10473,80473
10474,80474
10475,80475
10476,80476
10477,80477
10478,80478
10479,80479
10480,80480
10481,80481
10482,80482
10483,80483
10484,80484
10485,80485
10486,80486
10487,80487
10488,80488
10489,80489
10490,80490
10491,80491
10492,80492
10493,80493
10494,80494
10495,80495
10496,80496
10497,80497
10498,80498
10499,80499
10500,80500
10501,80501
10502,80502
10503,80503
10504,80504
10505,80505
10506,80506
10507,80507
10508,80508
10509,80509
10510,80510
10511,80511
10512,80512
10513,80513
10514,80514
10515,80515
10516,80516
10517,80517
10518,80518
10519,80519
10520,80520
10521,80521
10522,80522
10523,80523
10524,80524
10525,80525
10526,80526
10527,80527
10528,80528
10529,80529
10530,80530
10531,80531
10532,80532
10533,80533
10534,80534
10535,80535
10536,80536
10537,80537
10538,80538
10539,80539
10540,80540
10541,80541
10542,80542
10543,80543
10544,80544
10545,80545
10546,80546
10547,80547
10548,80548
10549,80549
10550,80550
10551,80551
10552,80552
10553,80553
10554,80554
10555,80555
10556,80556
10557,80557
10558,80558
10559,80559
10560,80560
10561,80561
10562,80562
10563,80563
10564,80564
10565,80565
10566,80566
10567,80567
10568,80568
10569,80569
10570,80570
10571,80571
10572,80572
10573,80573
10574,80574
10575,80575
10576,80576
10577,80577
10578,80578
10579,80579
10580,80580
10581,80581
10582,80582
10583,80583
10584,80584
10585,80585
10586,80586
10587,80587
10588,80588
10589,80589
10590,80590
10591,80591
10592,80592
10593,80593
10594,80594
10595,80595
10596,80596
10597,80597
10598,80598
10599,80599
10600,80600
10601,80601
10602,80602
10603,80603
10604,80604
10605,80605
10606,80606
10607,80607
10608,80608
10609,80609
10610,80610
10611,80611
10612,80612
10613,80613
10614,80614
10615,80615
10616,80616
10617,80617
10618,80618
10619,80619
10620,80620
